COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,,"$ 8,000",,Marine energy converters,,,,Yes,,,Navy Energy Program,,Navy,RDT&E,
,,"$ 2,000",,Marine energy systems for sensors and microgrids,,,,Yes,,,Navy Energy Program,,Navy,RDT&E,
,"$ 5,000",,,"For testing and evaluation of uncrewed technologies with counter threat capabilities to detect, identify, and counter uncrewed aerial system threats",81,"Kiggans (CA), Amo, Gabe (RI)",,No,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,"RDT&E, Navy"
,"$ 7,000",,,Generative AI warfighter military training modernization,,,,Yes,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,,"$ 2,500",,JDAM kinetic improvements,,,,Yes,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,"$ 5,300","$ 2,000","$ 5,300",NavalX regional test and evaluation accelerator,,,,No,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,"$ 15,000",,,NavalX tech bridge facilities,,,,No,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,"$ 17,000",,"$ 17,000",Passive sonar sensor AI testbed,,,,Yes,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,,"$ 1,000",,USV cUAS,,,,Yes,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,,"$ 4,000",,Warfighter experience lab,,,,Yes,,,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,,"$ 2,000",,Portable underwater communication system,,,,Yes,,,New Design SSN,,Navy,RDT&E,
,,"$ 500,000",,Classified adjustment (emergency),,,,No,,Yes,Next Generation Fighter,,Navy,RDT&E,
,,"$ 4,000",,Afloat weather forecasting,,,,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,,"$ 2,500","$ 2,500",Atmospheric river research,,,,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,"$ 10,000",,,Icing Prediction and Wind Optimization for Marine Corps MQ9s,122,Mills (FL),,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,"RDT&E, Navy"
,"$ 10,000","$ 7,500","$ 7,500",Intelligent autonomous systems for seabed warfare,39,"Ezell (MS), Guest (MS)",,No,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,"O&M, Defense-Wide"
,,"$ 3,000",,Modeling of water-ice interactions for arctic battlefield sensing,,,,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,,"$ 2,500","$ 2,500",Naval installation climate change risk management,,,,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,,"$ 7,000","$ 7,000",Ocean acoustics for monitoring,,,,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,,"$ 15,000","$ 15,000",Pacific infrastructure for continuous engineering and science,,,,Yes,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,,"$ 5,000",,Resilient autonomous sensing in the arctic,,,,No,,,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,,"$ 2,000",,Advanced composite shaft design,,,,Yes,,,Ohio Replacement,,Navy,RDT&E,
,,"$ 2,500",,Multimodal biometric authentication,,,,Yes,,,Ohio Replacement,,Navy,RDT&E,
,,"$ 3,000","$ 3,000",Shipyard and ship repair workforce training,,,,Yes,,,Ohio Replacement,,Navy,RDT&E,
,"$ 4,000",,,High speed hypersonic testing,,,,No,,,Power Projection Applied Research,,Navy,RDT&E,
,,"$ 2,500",,Advanced energetic inspection methodology,,,,Yes,,,Precision Strike Weapons Development Program,,Navy,RDT&E,
,,"$ 2,500",,Advanced rocket fuel density,,,,Yes,,,Precision Strike Weapons Development Program,,Navy,RDT&E,
,"$ 5,000",,,Condition based maintenance digitial twins CAD/PAD,,,,No,,,Precision Strike Weapons Development Program,,Navy,RDT&E,
,"$ 12,000",,,Neutron Radiography Technologies for Energetic Devices,157,"Steil (WI), Grothman (WI), Fitzgerald (WI)",,Yes,,,Precision Strike Weapons Development Program,,Navy,RDT&E,"RDT&E, Navy"
,,"$ 252,000","$ 150,000",SLCM-N,,,,Yes,,,Precision Strike Weapons Development Program,,Navy,RDT&E,
,,"$ 10,000","$ 10,000",Hydrofoiling wing-in ground prototype,,,,Yes,,,Rapid Technology Capability Prototype,,Navy,RDT&E,
,,"$ 3,000",,MCWL support,,,,No,,,Rapid Technology Capability Prototype,,Navy,RDT&E,
,"$ 5,000",,,Shipbuilding industrial base supply chain management,,,,Yes,,,RDT&E Ship and Aircraft Support,,Navy,RDT&E,
,,"$ 2,000",,Naval maintenance integration initiative,,,,Yes,,,Ship Concept Advanced Design,,Navy,RDT&E,
,"$ 1,500",,,Optimum track ship routing improvements using commercial data and software solutions,,,,Yes,,,Ship Preliminary Design & Feasibility Studies,,Navy,RDT&E,
,"$ 5,000",,,Supply chain risk mitigation,,,,Yes,,,Ship Preliminary Design & Feasibility Studies,,Navy,RDT&E,
,"$ 5,000",,,Shipboard EW self-protection,,,,Yes,,,Ship Self Defense (Engage: Hard Kill),,Navy,RDT&E,
,,"$ 5,000",,MUUV EDM articles,,,,No,,,Small and Medium Unmanned Undersea Vehicles,,Navy,RDT&E,
,,"$ 2,000",,Cybersecurity situational awareness for submarines,,,,Yes,,,SSN(X),,Navy,RDT&E,
,"$ 15,000",,,Accelerated qualification of modular solid rocket motor,,,,No,,,Standard Missile Improvements,,Navy,RDT&E,
,,"$ 4,000","$ 4,000",Accelerate revolver integration,,,,No,,,Submarine Acoustic Warfare Development,,Navy,RDT&E,
,"$ 6,000",,,Expeditionary MCM command and control system,,,,No,,,Surface and Shallow Water Mine Countermeasures,,Navy,RDT&E,
,,"$ 75,000",,AEGIS PAC-3 integration (emergency),,,,Yes,,Yes,Surface Combatant Combat System Engineering,,Navy,RDT&E,
,,"$ 7,500",,Composite improvement for MK41 VLS,,,,Yes,,,Surface Support,,Navy,RDT&E,
,"$ 5,000",,,Airborne augmented reality for Navy pilot training,,,,Yes,,,Training System Aircraft,,Navy,RDT&E,
,,"$ 10,000",,Low-cost autonomous sensors for maritime dominance,,,,No,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 3,000",,Multi-functional composite structures for undersea platforms,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 20,000","$ 20,000",Partnerships for submarine and undersea vehicle programs,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,"$ 7,000",,,Persistent undersea surveillance,,,,No,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 5,000",,Resident autonomous undersea robotics,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 10,000",,SAPF/SCIF university facility upgrades,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 8,500","$ 8,500",Strategic soundscapes for ocean awareness,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 2,500",,Tow-cable monitoring through advanced fiber optic sensing,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,,"$ 2,500","$ 2,500",Undersea autonomy research facilities capability,,,,Yes,,,Undersea Warfare Applied Research,,Navy,RDT&E,
,"$ 5,000",,,Artificial intelligence and maritime maneuvering project,,,,Yes,,,University Research Initiatives,,Navy,RDT&E,
,"$ 8,000",,,Biocoherent energy transfer research,,,,Yes,,,University Research Initiatives,,Navy,RDT&E,
,"$ 5,000",,"$ 5,000",Highly digital airborne radar,,,,Yes,,,University Research Initiatives,,Navy,RDT&E,
,"$ 12,600",,"$ 12,600",Next-generation real-time digital radar system development and demos,,,,Yes,,,University Research Initiatives,,Navy,RDT&E,
,,"$ 5,000","$ 5,000",Processing and networking of distributed digital radar,,,,Yes,,,University Research Initiatives,,Navy,RDT&E,
,"$ 15,000",,,Autonomous maritime patrol aircraft,,,,Yes,,,Unmanned Aerial System,,Navy,RDT&E,
,"$ 45,000",,"$ 45,000",Commercially available large diameter unmanned undersea vehicle technology,,,,Yes,,,Unmanned Undersea Vehicle Core Technologies,,Navy,RDT&E,
,,"$ 2,500",,Mobile testbed for UUVs,,,,No,,,Unmanned Undersea Vehicle Core Technologies,,Navy,RDT&E,
,,"$ 2,000",,Arctic medical evacuation and treatment systems,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 6,000",,Autonomous low-profile vessel,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 2,000",,Blue water medium lift logistics UAS,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 3,000","$ 3,000",Composite shelters,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 2,500",,Distributed RF photonic systems,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 2,000",,Distributed wireless systems using RF photonic technology,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 9,400",,,Enterprise mission planning and integrated real-time execution,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 10,000",,,Extended range high speed aerial loitering munitions,,,,No,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 5,000",,,for continued HeVTOL development and engine development,67,Jackson (TX),,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,"RDT&E, Navy"
,,"$ 7,000",,Long range maneuvering projectile,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 34,900","$ 1,900","$ 34,900",Low-cost attritable aircraft technology,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 10,000","$ 5,000",Low-cost tactical hypersonic long-range fires,,,,No,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 10,000",,"$ 10,000",Multi-function array for C-UAS,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 2,000",,Multifunction persistent elevated sensors,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 55,000",,,One MQ-9B SeaGuardian,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,,"$ 2,500",,UAS agile system development,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 5,000",,,Wing-in ground vehicle technology,,,,Yes,,,USMC Advanced Technology Demonstration (ATD),,Navy,RDT&E,
,"$ 10,000",,,Thermoplastics ice protection demonstration,,,,Yes,,,V-22A,,Navy,RDT&E,
,"$ 25,400",,,V-22 cockpit equipment upgrades,,,,No,,,V-22A,,Navy,RDT&E,
,"$ 5,000",,,Coacting high integrity material energetic release attenuation,,,,Yes,,,Warfare Support System,,Navy,RDT&E,
,"$ 10,000",,,Bone marrow registry program,,,,Yes,,,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,,"$ 3,000",,Neuromuscular research lab,,,,Yes,,,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,"$ 7,000",,,Omniblast water sensor technology,,,,Yes,,,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,,"$ 5,000","$ 2,500",Thermite firefighting robotics,,,,Yes,,,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,"$ 3,000",,,Warfighter resilience and readiness,,,,No,,,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,"$ 10,000",,,Advanced Missile Castings Demonstration,155,Steil (WI),,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,"RDT&E, Navy"
,,"$ 5,000",,Augmented reality robotic surgery,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$ 3,000",,,Corrosion research,,,,No,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 10,000","$ 5,000",Cross-domain naval robots,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 2,500",,Engineered systems to restore skin and tactile sensory in Navy burn victims,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 1,000",,Foreign malign information operations,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 2,000",,Human digital engineering,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 3,000","$ 3,000",Innovative coatings research,,,,No,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$ 4,000",,,Musculoskeletal health and performance optimization in female marines,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 5,000",,Physics based neutralization of threats to human tissues and organs,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$ 6,000","$ 2,000","$ 2,000",Rapid applied materials processing lab development / Rapid applied materials and process development,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,,"$ 8,000",,Remote vestibular assessment technology,,,,Yes,,,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$ 4,000",,,For the deployment of Kubernetes-based geospatial infrastructure,138,"Obernolte (CA), Peters (CA)",,No,,,,,Navy,RDT&E,"RDT&E, Air Force"
,"$ 12,500",,,For the Marine Corps to expedite the development of an advanced intelligent gateway (AIG) capability,62,Hinson (IA),,No,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 10,000",,,Network Tactical Common Data Link - Phased Array Antenna Qualification,87,LaLota (NY),,No,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,Nuclear Reentry,97,"Langworthy (NY), Tenney (NY)",,No,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,To address the corrosion of aircraft airframe structures,53,Garbarino (NY),,No,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,To enhance battlespace awareness and support military aviation capabilities especially during Atmospheric River storm events,32,"Costa (CA), Khanna (CA), Huffman (CA)",,No,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,"To support existing research efforts in a number of key areas including sensing, communications, situational awareness and unmanned systems and autonomy",74,Keating (MA),,No,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 8,000",,,To support the Fight Facility to expand current congressionally supported work for the Unmanned Aerial Systems (UAS) Degraded Environment Facility (UxSDEF),30,"Cohen (TN), DesJarlais (TN), Kustoff (TN)",,Yes,,,,,Navy,RDT&E,"RDT&E, Navy"
,"$ 10,000",,,To support undersea autonomy research facilities and to expand their capabilities to fulfill current and future ONR requirements,75,Keating (MA),,No,,,,,Navy,RDT&E,"RDT&E, Navy"
,"$ 9,000",,,Transportable nongeostationary satellite terminal for the Global Broadcast Service,55,Graves (LA),,Yes,,,,,Navy,RDT&E,"O&M, Defense-Wide"
,,"$ 6,000",,PARCS,,,,Yes,,,Ballistic Missile Defense Radars,,Space Force,RDT&E,
,,"$ 1,040,405","$ 351,272",Classified adjustment,,,,No,Space Force,,Classified Programs,,Space Force,RDT&E,
,,"$ 7,000",,Commercial augmentation space reserve,,,,Yes,,,Commercial Services,,Space Force,RDT&E,
,,"$ 7,000",,"Commercial positioning, navigation and timing",,,,Yes,,,Commercial Services,,Space Force,RDT&E,
,,"$ 8,000",,Commercial space-based environment monitoring,,,,Yes,,,Commercial Services,,Space Force,RDT&E,
,,"$ 40,000","$ 40,000","Commercial surveillance, reconnaissance and tracking",,,,Yes,,,Commercial Services,,Space Force,RDT&E,
,"$ 10,000",,,Tactical SRT to support combatant commands,,,,Yes,,,Commercial Services,,Space Force,RDT&E,
,,"$ 1,000",,AI satellite health monitoring,,,,Yes,,,Global Positioning System III—Operational Control Segment,,Space Force,RDT&E,
,,"$ 80,000","$ 80,000",Payload processing facility (emergency),,,,Yes,,Yes,National Security Space Launch Program (SPACE)—EMD,,Space Force,RDT&E,
,"$ 3,000",,,Cloud-based beamforming,,,,Yes,,,Protected Tactical Service (PTS),,Space Force,RDT&E,
,,"$ 5,000",,Additional test range capability,,,,Yes,,,Rocket Systems Launch Program (SPACE),,Space Force,RDT&E,
,,"$ 25,000","$ 15,000",State space launch range services and capabilities,,,,Yes,,,Rocket Systems Launch Program (SPACE),,Space Force,RDT&E,
,"$ 4,000",,,Design and development for SCN to GovCloud,,,,Yes,,,Satellite Control Nework (Space),,Space Force,RDT&E,
,,"$ 450,000",,Fire control acceleration (emergency),,,,No,,Yes,"Space Access, Mobility & Logistics (SAML)",,Space Force,RDT&E,
,,"$ 10,000",,Ground entry point acceleration,,,,No,,,"Space Access, Mobility & Logistics (SAML)",,Space Force,RDT&E,
,,,"$ 4,000",Small autonomous on-orbit servicing,,,Yes,No,,,"Space Access, Mobility & Logistics (SAML)",,Space Force,RDT&E,
,"$ 5,000",,,Space access mobility & logistics,,,,No,,,"Space Access, Mobility & Logistics (SAML)",,Space Force,RDT&E,
,,"$ 4,000",,Transport layer software architecture,,,,Yes,,,"Space Access, Mobility & Logistics (SAML)",,Space Force,RDT&E,
,"$ 10,000",,,For development of technology for super and hypersonic airbreathing propulsion for use in attritable/reusable aircraft,95,"Landsman (OH), Turner (OH)",,Yes,,,Space Advanced Technology Development/Demo,,Space Force,RDT&E,"RDT&E, Space Force"
,,"$ 12,500",,LADAR for early threat detection,,,,Yes,,,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,,"$ 3,000",,Modular multi-mode propulsion system,,,,No,,,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,,"$ 500,000","$ 50,000",Nuclear electric propulsion (emergency),,,,Yes,,Yes,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,,"$ 15,000","$ 15,000",Nuclear propulsion technologies for cislunar flight,,,,Yes,,,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,,"$ 3,000",,VLEO spacecraft,,,,Yes,,,Space Advanced Technology Development/Demo,,Space Force,RDT&E,
,"$ 5,000",,,Threat visualization and simulation training,,,,Yes,,,"Space Innovation, Integration and Rapid Technology Development",,Space Force,RDT&E,
,,"$ 7,500","$ 7,500",Deployable SCN ground system fielding,,,,Yes,,,Space Rapid Capabilities Office,,Space Force,RDT&E,
,"$ 20,000",,"$ 20,000",Defense in depth as mission assurance spacecraft - multilevel security,,,,Yes,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,,"$ 11,250","$ 11,250",Defense of LEO,,,,No,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,,"$ 3,000",,Defense-in-depth for spacecraft cybersecurity,,,,Yes,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,"$ 5,000",,,L-band phased array demonstration,,,,Yes,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,,"$ 32,500",,LEO VHF augmentation,,,,Yes,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,,"$ 6,000","$ 6,000",PWSA integrated targeting solution,,,,Yes,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,"$ 15,000",,"$ 4,000",Transport layer software architecture,,,,No,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,"$ 22,500",,"$ 22,500",VHF payload satellite demonstration,,,,Yes,,,Space Science and Technology Research and Development,,Space Force,RDT&E,
,,"$ 7,500",,AI and autonomy for data analytics and sensors,,,,Yes,,,Space Situation Awareness Operations,,Space Force,RDT&E,
,"$ 5,000","$ 2,500","$ 2,500",Commercial collaborative sensor network / COTS sensor network,,,,Yes,,,Space Situation Awareness Operations,,Space Force,RDT&E,
,,"$ 5,000",,Unified data library,,,,No,,,Space Situation Awareness Operations,,Space Force,RDT&E,
